Godot Engine v4.2.2.stable.mono.official.15073afe3 - https://godotengine.org
Vulkan API 1.4.308 - Forward+ - Using Vulkan Device #0: AMD - AMD Radeon RX 7900 XT
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
 
Chunk generated with 672 vertices, 1008 indices, and 1 collision shape
Chunk generated with 908 vertices, 1362 indices, and 1 collision shape
Chunk generated with 908 vertices, 1362 indices, and 1 collision shape
Chunk generated with 924 vertices, 1386 indices, and 1 collision shape
Chunk generated with 828 vertices, 1242 indices, and 1 collision shape
Chunk generated with 860 vertices, 1290 indices, and 1 collision shape
Chunk generated with 836 vertices, 1254 indices, and 1 collision shape
Chunk generated with 992 vertices, 1488 indices, and 1 collision shape
Chunk generated with 912 vertices, 1368 indices, and 1 collision shape
Chunk generated with 700 vertices, 1050 indices, and 1 collision shape
Chunk generated with 648 vertices, 972 indices, and 1 collision shape
Chunk generated with 648 vertices, 972 indices, and 1 collision shape
Chunk generated with 608 vertices, 912 indices, and 1 collision shape
Chunk generated with 564 vertices, 846 indices, and 1 collision shape
Chunk generated with 732 vertices, 1098 indices, and 1 collision shape
Chunk generated with 576 vertices, 864 indices, and 1 collision shape
Chunk generated with 652 vertices, 978 indices, and 1 collision shape
Chunk generated with 720 vertices, 1080 indices, and 1 collision shape
Chunk generated with 712 vertices, 1068 indices, and 1 collision shape
Chunk generated with 860 vertices, 1290 indices, and 1 collision shape
Chunk generated with 800 vertices, 1200 indices, and 1 collision shape
Chunk generated with 868 vertices, 1302 indices, and 1 collision shape
Chunk generated with 780 vertices, 1170 indices, and 1 collision shape
Chunk generated with 692 vertices, 1038 indices, and 1 collision shape
Chunk generated with 548 vertices, 822 indices, and 1 collision shape
Chunk generated with 740 vertices, 1110 indices, and 1 collision shape
Chunk generated with 940 vertices, 1410 indices, and 1 collision shape
Chunk generated with 704 vertices, 1056 indices, and 1 collision shape
Chunk generated with 688 vertices, 1032 indices, and 1 collision shape
Chunk generated with 664 vertices, 996 indices, and 1 collision shape
Chunk generated with 864 vertices, 1296 indices, and 1 collision shape
Chunk generated with 784 vertices, 1176 indices, and 1 collision shape
Chunk generated with 840 vertices, 1260 indices, and 1 collision shape
Chunk generated with 848 vertices, 1272 indices, and 1 collision shape
Chunk generated with 704 vertices, 1056 indices, and 1 collision shape
Chunk generated with 936 vertices, 1404 indices, and 1 collision shape
Chunk generated with 804 vertices, 1206 indices, and 1 collision shape
Chunk generated with 892 vertices, 1338 indices, and 1 collision shape
Chunk generated with 868 vertices, 1302 indices, and 1 collision shape
Chunk generated with 1020 vertices, 1530 indices, and 1 collision shape
Chunk generated with 948 vertices, 1422 indices, and 1 collision shape
Chunk generated with 920 vertices, 1380 indices, and 1 collision shape
Chunk generated with 868 vertices, 1302 indices, and 1 collision shape
Chunk generated with 740 vertices, 1110 indices, and 1 collision shape
Chunk generated with 804 vertices, 1206 indices, and 1 collision shape
Chunk generated with 1064 vertices, 1596 indices, and 1 collision shape
Chunk generated with 968 vertices, 1452 indices, and 1 collision shape
Chunk generated with 880 vertices, 1320 indices, and 1 collision shape
Chunk generated with 660 vertices, 990 indices, and 1 collision shape
Chunk generated with 968 vertices, 1452 indices, and 1 collision shape
Chunk generated with 1024 vertices, 1536 indices, and 1 collision shape
Chunk generated with 976 vertices, 1464 indices, and 1 collision shape
Chunk generated with 892 vertices, 1338 indices, and 1 collision shape
Chunk generated with 436 vertices, 654 indices, and 1 collision shape
Chunk generated with 876 vertices, 1314 indices, and 1 collision shape
Chunk generated with 952 vertices, 1428 indices, and 1 collision shape
Chunk generated with 676 vertices, 1014 indices, and 1 collision shape
Chunk generated with 980 vertices, 1470 indices, and 1 collision shape
Chunk generated with 832 vertices, 1248 indices, and 1 collision shape
